Name,Price,Rating
"East Airport Suite 3, Accra, Ghana","NGN 48,020",8.4
EBS legends luxury company,"NGN 173,352",
TA Apartments,"NGN 142,002",
Bombay Hotel,"NGN 34,459",7.2
Bonsukoda Lodge,"NGN 31,728",7.7
The VVIP Luxury Apartments@The Gallery,"NGN 92,610",10
"Luxury Studio Apartments with Rooftop Swimming Pool at The Gallery, East Legon Accra","NGN 84,893",2.0
"Sandpark Place, West Hills","NGN 37,044",9.1
Hill View Hotel West Airport,"NGN 50,563",6.5
The Aknac Hotel,"NGN 121,251",7.2
Eighty8 properties single condominium,"NGN 28,512",7.0
Benconi Lodge,"NGN 51,450",8.4
HG Palace Lodge,"NGN 26,240",7.7
Euro Homes Hotel,"NGN 61,740",7.7
One Bedroom Luxurious Apartment,"NGN 137,200",
Justa Hotel,"NGN 28,512",3.8
"Spacious 2 bedroom Guest House, East Legon","NGN 115,763",
"Spacious Top Floor 1 bedroom apartment, Labone","NGN 72,888",
His Majesty's Hotel and Apartments,"NGN 115,763",6.6
Gallery Apartments by BestWest Hospitality,"NGN 85,750",6.8
Brannic Lodge,"NGN 60,025",8.3
Find Luxury @ The Gallery Apartment,"NGN 84,893",
Dreams hotel,"NGN 31,728",
The Cabyn,"NGN 57,024",8.9
Locus Place,"NGN 154,350",
Ghana Baptist Guest House,"NGN 102,900",6.7
Selwilliam Hotel,"NGN 50,164",8.0
Eighty8 Properties two bedroom apartment,"NGN 46,777",9.0
The Gallery - managed by Clifton Homes,"NGN 85,750",6.6
WOW Properties Accra the pearl in city,"NGN 161,296",
African HOME Regent Guest House Apt 2 BedRooms with Kitchen Dining East Legon,"NGN 32,799",6.0
Tomreik Hotel,"NGN 162,925",6.0
Executive 2-Bed Apartment Santa Maria - Accra,"NGN 69,629",
The Winford Boutique Hotel,"NGN 38,588",7.5
EBS LEGENDS LUXURY APARTMENT,"NGN 239,243",
Hanny luxury haven,"NGN 145,775",
Wüenam Vacation Home,"NGN 101,408",8.7
The Highbridge Guest Lodge,"NGN 71,173",7.7
CHARFORT ROYAL GUEST HOUSE,"NGN 21,438",
Hanny luxury haven,"NGN 183,291",
The Prestige Homes,"NGN 30,013",10
AJ luxurious studio apartments,"NGN 81,463",
Elegant Superior Room Space Available,"NGN 445,900",
Hanny Haven,"NGN 308,700",
Three bedroom townhouse North Ridge,"NGN 214,375",
Three bedroom townhouse North Ridge,"NGN 214,375",
Kempinske HOME Guest House Apt 2 BedRooms with Kitchen Dining East Legon,"NGN 32,799",
Accra Luxury Units,"NGN 72,236",
The Krossova Beach House,"NGN 201,513",
Accra Beautiful Properties,"NGN 128,625",
Embassy gardens,"NGN 102,900",7.7
Luxury Two Bedroom at Embassy Gardens by Morninglife Luxury Apartments,"NGN 239,821",4.0
Wonder studios,"NGN 60,025",
Tantra Grand Apartments,"NGN 38,588",
Hilton View Hotel,"NGN 61,740",7.4
Lity's Home,"NGN 50,164",
Charis Home Services,"NGN 34,300",8.2
"Ensuite Room, 3min drive from US Embassy, Gym+Pool","NGN 57,881",6.7
Elizz guest house,"NGN 18,865",8.1
PLSA cantonments,"NGN 102,900",7.6
The gallery,"NGN 74,860",9.0
Tomreic HOME Guest House Apt 2 BedRooms with Kitchen Dining East Legon,"NGN 32,799",
Royal Beulah,"NGN 102,900",1.0
Movenpick HOME Guest House Apt 2 BedRooms with Kitchen Dining East Legon,"NGN 32,799",
PLSA -East legon,"NGN 77,175",6.0
Justa Hotel Annex,"NGN 68,600",
BonzaliGh property management,"NGN 100,328",
Fiesta HOME Guest House Apt 2 BedRooms with Kitchen Dining East Legon,"NGN 32,799",
DanRitzcer Suites,"NGN 25,725",7.0
Pafad's Apartments,"NGN 74,088",
"NEW High-Ceiling Studio, KING SIZE MATTRESS, FREE WiFi","NGN 72,888",
Sunshineapartments,"NGN 49,392",
Greystone Mansion,"NGN 65,599",8.5
90 Independence Avenue,"NGN 177,503",7.8
Janjay Hotel,"NGN 60,025",7.6
EBS LEGENDS SAAH STUDIO STUDIOS,"NGN 111,475",
Ocean lookout Accra,"NGN 9,776",5.5
Stylish one bedroom with rooftop,"NGN 72,888",
Ampomaah Hotel,"NGN 42,446",7.5
Tantra Grande Apartments,"NGN 38,588",
Phoenix Villas,"NGN 92,610",7.0
Gallery Homes,"NGN 154,350",
Top Base Apartments,"NGN 30,870",9.0
Oasis Park Residences,"NGN 102,900",
Find Luxury @ Embassy Gardens,"NGN 101,871",5.5
Golden Crystal HOME Guest House Apt 2 BedRooms with Kitchen Dining East Legon,"NGN 29,519",
City View,"NGN 72,888",
Marnia Court,"NGN 141,402",8.5
Prempeh’s Place,"NGN 67,914",8.0
Ridge Over Suite,"NGN 57,881",4.6
EBS LEGENDS ONE BEDROOM DUPl,"NGN 179,218",
Elimens Lodge,"NGN 46,305",
